age,gender,height_cm,weight_kg,workout_days_per_week,daily_calories,protein_intake_g,daily_steps,bmr,tdee,weekly_fat_loss_kg
37,male,180.8,81.6,6,2209,165.2,6635,1765.91,3127.94,0.8195
45,male,182.4,93.0,6,1907,207.5,7166,1849.95,3299.46,1.2875
64,female,158.9,58.5,2,1657,102.9,7859,1096.96,1651.28,-0.0061
24,female,160.8,74.3,1,1815,135.9,8404,1466.81,2187.07,0.3177
61,female,166.2,70.5,0,1751,127.5,8299,1277.8,1698.31,-0.0982
25,male,183.9,83.7,4,2137,148.6,6955,1866.62,2991.01,0.7831
64,female,165.3,80.0,4,1422,186.1,8460,1352.23,2268.96,0.8136
52,male,182.8,84.0,5,2207,187.3,6787,1728.16,3070.42,0.765
31,male,174.0,70.2,0,1959,106.0,9105,1639.74,2172.94,0.1966
34,female,162.1,69.0,5,2257,104.0,5931,1372.0,2413.26,0.0968
53,male,180.4,92.6,1,1747,169.2,7682,1793.26,2599.83,0.7555
57,male,173.2,80.6,5,1685,120.7,3440,1607.94,2773.7,1.0004
21,male,173.4,84.7,0,1858,171.1,6575,1831.17,2276.15,0.4028
19,male,179.1,82.6,7,1849,127.5,8918,1855.2,3720.77,1.5
23,male,182.3,88.5,0,2282,170.2,4915,1914.74,2297.68,-0.0469
59,female,159.1,68.4,4,2279,96.3,6699,1222.23,1979.41,-0.286
21,male,168.9,69.8,6,2667,119.9,1487,1653.82,2852.84,0.1401
46,female,162.6,79.3,1,1827,164.7,4079,1417.86,1949.55,0.1025
35,female,168.3,84.8,7,1200,159.7,4733,1563.84,2971.3,1.4967
43,male,178.3,72.9,2,1857,173.5,7754,1634.02,2384.48,0.5118
61,male,178.7,75.8,7,2081,172.4,8333,1574.83,3158.82,0.9889
51,male,180.6,80.0,7,2250,140.7,7359,1678.92,3307.9,1.0042
27,female,155.7,83.0,5,2106,120.0,6543,1507.54,2677.65,0.4985
53,male,178.9,85.0,4,1826,190.9,6552,1707.75,2724.61,0.7741
31,female,154.6,59.0,5,2600,136.3,9290,1239.96,2353.43,-0.1805
48,male,185.0,82.5,5,1638,183.3,8032,1746.75,3164.75,1.4008
32,female,160.8,70.4,2,1904,107.6,6665,1388.02,1991.77,0.0576
25,male,168.7,66.5,1,1622,159.5,10733,1599.42,2485.85,0.7984
31,male,175.2,78.0,0,2007,129.4,12374,1725.16,2438.89,0.4178
40,female,177.5,77.5,3,2556,164.7,4385,1523.5,2361.42,-0.1735
57,female,164.3,71.1,5,1951,164.0,8806,1291.61,2418.32,0.4033
38,male,189.6,82.0,3,1953,134.2,15224,1820.08,3332.32,1.2409
33,female,168.3,87.5,1,1406,202.0,8200,1601.16,2361.59,0.8771
62,male,171.4,74.2,3,1900,126.8,7788,1508.05,2476.88,0.5308
35,female,163.0,73.8,5,2403,175.3,7360,1420.34,2568.09,0.1868
64,female,163.3,73.0,2,1912,122.8,8725,1270.18,1932.75,0.0102
41,male,179.1,76.6,3,1889,180.2,9387,1685.24,2831.47,0.8281
43,male,189.7,86.0,1,2387,125.0,4388,1835.15,2523.34,0.2013
42,male,179.5,81.3,1,1890,171.4,7433,1729.37,2499.54,0.5591
62,female,153.7,69.8,6,2452,134.9,1826,1187.45,2048.36,-0.3421
58,female,161.2,65.7,6,1550,123.3,6976,1213.06,2191.34,0.5983
46,male,175.8,77.5,2,2237,125.8,5243,1648.81,2279.27,0.0438
32,male,186.1,89.8,3,2576,189.2,8347,1906.85,3122.97,0.4902
62,female,158.1,69.7,3,2353,110.9,3359,1214.32,1882.2,-0.5
18,female,159.7,73.2,6,1346,142.9,6219,1478.96,2612.15,1.1187
42,female,170.3,78.0,0,1777,128.9,9916,1473.38,2013.86,0.2256
24,male,183.9,86.1,4,1915,202.9,5809,1895.84,2979.0,0.8854
26,male,180.8,85.8,1,2353,122.6,2737,1863.51,2562.33,0.192
41,male,171.1,75.6,0,1534,121.0,8143,1625.62,2107.89,0.5416
18,female,165.0,66.9,1,1643,109.9,6033,1449.31,2044.45,0.3896
61,male,174.1,68.6,7,1438,124.5,7035,1474.35,2903.01,1.3496
25,female,167.5,83.5,7,1711,136.4,5675,1596.3,3066.73,1.2613
41,male,162.8,79.4,0,1562,150.2,12435,1611.64,2305.71,0.7243
28,female,167.5,80.6,7,2559,183.0,3604,1551.11,2947.12,0.3855
34,female,163.7,80.1,6,1773,169.3,14583,1493.49,3055.42,1.1714
25,female,159.2,70.3,6,2242,139.2,6523,1412.05,2511.93,0.2415
52,male,185.7,78.6,4,2006,117.0,7958,1691.36,2769.51,0.6973
52,male,176.3,71.5,0,2001,149.7,6063,1561.56,1927.03,-0.0759
50,male,185.6,74.8,1,1793,117.2,5958,1662.79,2334.24,0.5256
22,female,158.8,81.1,3,2270,177.4,5537,1532.9,2402.84,0.1384
59,female,155.8,66.2,1,2054,109.2,9003,1179.1,1821.41,-0.2229
56,female,166.0,83.2,5,2034,151.1,3973,1428.24,2463.71,0.4305
58,female,164.2,72.4,6,1792,126.7,8410,1298.93,2411.16,0.5538
45,female,167.2,69.8,2,1850,157.7,2038,1356.98,1865.85,-0.0136
24,male,169.2,67.4,2,2206,102.8,8183,1615.82,2380.9,0.1586
26,female,156.0,65.5,6,2081,128.7,9622,1338.59,2540.16,0.3931
25,male,180.7,92.6,5,2043,142.9,4313,1935.66,3339.01,1.2061
29,male,173.4,69.4,2,1736,146.0,9196,1637.7,2461.63,0.6342
51,male,182.4,99.0,7,2680,228.3,7628,1880.6,3704.54,0.9275
50,male,186.6,77.3,6,1832,141.7,11496,1694.04,3247.01,1.3145
40,male,184.1,88.8,2,1989,167.7,5361,1843.94,2553.47,0.4914
41,female,168.9,74.9,6,1935,174.2,14539,1438.57,2958.48,0.9432
54,male,177.9,77.5,4,2684,148.8,1523,1621.58,2513.44,-0.1844
52,female,156.5,60.2,3,1898,113.7,6676,1159.34,1880.78,-0.0085
61,male,167.8,74.7,3,1866,147.8,3253,1495.79,2318.48,0.4282
57,male,182.1,72.7,1,2041,151.8,12127,1584.54,2535.09,0.4475
39,male,181.7,68.3,5,1757,102.9,6845,1628.45,2901.33,1.0411
44,male,168.5,76.8,6,2039,170.6,7070,1606.11,2874.04,0.7724
52,female,155.5,64.9,0,2830,119.1,8608,1199.7,1620.04,-0.5
18,male,178.9,94.0,1,2105,138.4,7487,1973.02,2837.25,0.6925
52,female,156.1,78.2,1,2092,171.0,6015,1336.77,1888.81,-0.1437
54,male,170.2,90.2,6,1749,160.3,4358,1700.83,2933.93,1.0497
64,female,164.8,68.7,6,2598,103.1,7921,1236.03,2278.19,-0.2379
31,female,162.7,74.3,1,2679,151.1,8447,1443.58,2157.27,-0.4831
20,female,165.9,53.7,1,2298,122.4,9238,1312.87,2017.1,-0.1959
18,male,178.0,77.8,3,2229,178.1,12281,1805.8,3163.04,0.8406
22,male,184.7,83.9,0,1918,197.8,2065,1888.45,2266.14,0.3379
43,male,178.8,81.7,7,2137,185.2,7330,1724.11,3392.3,1.1623
31,female,160.8,72.0,1,1708,101.0,10479,1408.85,2211.12,0.446
56,male,175.7,79.6,7,1606,141.7,7188,1618.97,3185.43,1.4382
44,male,170.4,55.0,3,1479,122.0,1654,1399.76,2169.63,0.6707
26,female,168.2,77.7,1,2144,137.3,4272,1537.55,2114.14,-0.0366
32,male,180.0,84.8,2,1518,169.8,8321,1818.16,2666.02,1.0315
32,female,166.4,85.6,1,1825,171.7,8230,1574.8,2326.86,0.4215
43,male,182.3,85.0,6,1979,150.0,9181,1778.73,3277.36,1.2277
59,male,178.4,79.2,5,2348,182.6,5547,1617.04,2816.74,0.4114
30,female,156.3,79.2,5,1798,150.7,8149,1457.57,2671.76,0.8307
49,male,183.2,63.6,1,2390,118.6,5135,1541.04,2125.67,-0.258
56,female,153.7,65.0,4,2329,155.9,8149,1169.85,1970.71,-0.2904
49,male,181.6,75.6,2,1625,143.1,7633,1651.1,2401.92,0.7304
21,male,174.3,78.2,0,2393,123.4,5447,1770.91,2147.44,-0.2301
47,female,156.4,52.8,1,1901,101.0,11395,1109.12,1844.79,-0.0729
54,female,168.5,86.4,7,1825,191.3,3235,1486.42,2824.19,0.8884
40,female,160.0,70.0,0,1902,152.4,7145,1338.87,1713.89,-0.1912
56,male,177.6,82.5,2,1999,180.5,5392,1660.17,2302.33,0.3079
62,female,158.0,72.9,1,1855,153.6,12085,1245.17,2066.36,0.1972
32,male,174.9,88.8,4,1706,146.9,8995,1826.46,3030.76,1.1708
60,male,165.8,59.7,3,1737,135.0,5876,1337.91,2117.57,0.3384
46,female,173.3,78.9,4,2049,180.9,6800,1480.7,2385.09,0.3019
53,male,184.4,92.1,6,1944,146.9,12153,1813.47,3485.88,1.3377
30,female,151.9,67.6,4,2185,103.4,5134,1314.05,2043.47,-0.1342
49,male,180.0,73.4,7,2018,174.3,3088,1618.88,3075.87,0.9831
24,male,183.3,77.7,3,2027,176.1,8227,1807.1,2962.35,0.8462
39,female,155.7,66.9,6,2207,153.5,8284,1286.83,2383.99,0.1681
45,female,161.6,66.9,3,2497,153.0,9165,1293.19,2212.7,-0.2436
19,female,163.7,72.5,5,2511,140.7,9181,1491.95,2782.66,0.237
59,female,156.9,82.7,3,2469,169.2,11926,1351.85,2441.67,-0.0031
62,female,161.3,67.8,1,2305,131.9,3204,1215.57,1671.41,-0.4563
23,female,167.3,71.4,0,2730,103.6,4492,1483.36,1780.04,-0.5
45,female,168.1,79.3,5,2153,170.2,9155,1458.0,2722.8,0.5074
45,male,177.3,78.4,5,2114,149.3,4735,1671.48,2883.3,0.7693
61,male,179.4,70.1,0,2785,143.6,3858,1522.57,1827.08,-0.4949
61,male,185.1,82.8,7,1200,157.6,12164,1685.41,3560.48,1.499
37,female,161.7,72.0,5,1925,136.2,3450,1384.36,2388.02,0.4131
47,female,168.2,83.5,3,2438,131.2,6621,1489.73,2390.13,-0.0056
28,male,181.6,73.9,4,2343,124.1,7351,1739.14,2813.21,0.3992
45,female,166.0,82.6,2,2898,128.7,10772,1477.5,2320.16,-0.4722
42,female,164.1,73.0,7,2038,116.6,2827,1384.85,2631.22,0.5313
56,male,172.2,68.6,3,1849,162.8,8538,1487.35,2482.29,0.553
50,female,156.8,60.1,6,1884,93.3,5274,1170.24,2032.36,0.1281
18,female,162.4,88.6,6,2111,147.8,9069,1649.74,3049.25,0.8513
44,male,183.2,81.2,4,2568,161.6,5232,1741.61,2711.1,0.1155
30,female,158.9,79.0,7,2572,158.8,11430,1472.35,3118.96,0.5307
58,male,191.7,72.6,7,1980,112.8,5247,1639.52,3127.43,1.0205
20,female,175.5,100.1,4,2089,219.5,1345,1836.47,2846.54,0.6933
56,female,152.5,75.8,7,1786,165.6,5527,1270.2,2439.73,0.6105
23,female,166.5,72.9,5,1822,119.3,6846,1493.37,2668.36,0.7729
25,male,169.9,74.0,1,2366,125.0,10205,1681.92,2572.89,0.2111
44,female,165.7,80.4,1,2561,188.1,4353,1459.09,2006.24,-0.5
26,female,160.4,77.6,7,1756,172.7,4403,1487.64,2826.52,0.9919
54,male,177.2,81.2,5,2085,170.4,9901,1654.62,3099.27,0.9416
50,female,163.8,73.8,5,1915,109.4,4061,1350.47,2329.57,0.406
59,male,160.2,76.6,0,2302,139.2,7052,1476.83,1874.79,-0.4453
61,female,153.9,55.3,0,1864,108.4,7103,1048.84,1363.76,-0.4395
41,male,178.0,77.1,2,1326,122.4,8043,1683.83,2467.42,1.0649
32,male,187.4,71.1,2,2351,131.5,5625,1727.3,2406.29,0.0377
49,male,181.3,86.4,2,1894,172.9,5182,1757.11,2425.12,0.4666
49,female,151.8,62.9,2,1930,108.7,8337,1171.86,1778.15,-0.1593
41,male,177.7,67.4,4,2152,147.0,5260,1585.08,2469.87,0.2576
58,female,165.6,68.2,4,2123,152.7,4100,1265.45,1961.45,-0.1273
29,male,175.7,80.3,0,2160,138.3,10569,1760.83,2391.44,0.2792
56,male,173.9,76.6,1,1430,171.5,8720,1578.25,2356.1,0.8256
19,female,161.0,63.1,5,2195,94.8,11918,1381.2,2728.47,0.4712
20,female,169.9,62.8,6,1332,140.6,9459,1429.27,2688.43,1.2337
54,male,162.5,73.7,1,2269,114.5,4329,1488.06,2046.08,-0.251
34,female,156.5,65.8,3,2391,97.6,7740,1305.25,2160.14,-0.2311
19,female,159.2,69.6,4,1521,142.0,4960,1434.54,2223.53,0.6369
19,female,162.6,71.9,2,2115,134.6,3370,1479.07,2033.72,-0.1007
45,male,172.3,81.0,2,2370,186.9,6382,1666.78,2360.93,0.0277
40,male,175.6,85.8,3,1843,151.2,9953,1760.08,2975.78,0.9911
54,female,162.6,74.3,1,2236,125.4,8187,1328.8,1986.45,-0.1996
49,male,184.6,80.5,2,1200,153.0,4022,1718.72,2363.24,1.1015
50,female,155.2,70.0,1,2384,130.0,6294,1259.29,1796.23,-0.4885
18,female,165.9,71.9,5,2010,125.5,7142,1505.36,2703.84,0.6262
36,female,165.8,61.5,3,1910,128.7,3277,1309.62,2029.92,0.1166
19,female,158.2,79.9,6,2344,172.6,9282,1532.51,2857.68,0.4534
61,female,149.6,74.5,1,2605,167.9,6928,1214.28,1766.04,-0.5
43,male,171.5,93.1,5,2170,220.9,4023,1793.19,3093.25,0.8099
49,female,161.9,91.1,7,2563,151.8,3882,1516.64,2881.62,0.2893
23,male,170.8,67.5,7,1456,142.7,10251,1631.98,3363.31,1.4718
49,male,178.9,77.8,1,2233,139.6,6547,1656.13,2354.54,0.098
21,female,162.8,93.4,7,1954,193.9,10475,1685.44,3476.09,1.3983
28,female,159.9,71.6,1,1724,134.4,11430,1414.86,2266.94,0.4978
34,female,156.1,72.2,2,1325,172.8,10056,1366.78,2132.13,0.7655
55,female,161.1,60.3,0,2214,128.5,6166,1174.41,1467.59,-0.4912
41,male,174.2,79.6,7,2306,187.2,1255,1684.74,3201.01,0.8239
22,male,172.4,93.0,4,2470,208.0,8282,1903.17,3114.02,0.5644
51,female,173.3,88.3,1,2412,203.3,12728,1550.34,2518.12,0.0567
23,male,164.0,68.9,1,1730,152.6,7411,1604.14,2326.24,0.5297
39,male,182.8,79.1,1,2452,147.1,2525,1743.6,2397.46,-0.0712
28,male,175.7,70.0,0,2489,115.7,5812,1663.62,2036.95,-0.4157
33,male,182.4,75.3,5,1909,133.3,7040,1732.75,3091.0,1.0426
50,male,187.7,69.2,7,2010,98.3,4755,1620.17,3078.31,0.9965
26,male,183.4,81.9,6,1673,157.5,1090,1840.29,3174.5,1.343
23,male,173.2,90.0,6,2518,171.5,7255,1872.75,3343.24,0.739
33,male,178.0,82.9,3,1471,159.7,5537,1782.09,2789.08,1.1978
46,female,159.2,82.6,2,2187,196.0,11931,1429.9,2312.66,0.1477
20,male,172.0,86.0,0,1791,198.8,7752,1840.31,2345.97,0.5572
37,male,179.4,76.4,5,1612,119.2,8673,1704.8,3124.43,1.4295
53,female,165.4,68.4,1,1344,120.9,7202,1291.5,1885.92,0.4543
36,male,161.5,66.9,5,1925,122.1,7734,1503.82,2730.78,0.7217
43,female,153.6,55.4,0,1557,97.5,3369,1138.18,1365.81,-0.1911
20,female,171.3,77.3,0,2020,170.0,4899,1582.84,1899.4,-0.0983
36,male,187.6,61.2,0,2619,117.8,10221,1609.88,2192.9,-0.3783
37,male,173.6,82.8,3,2070,163.4,8023,1733.12,2837.49,0.6804
49,female,156.6,71.0,4,2699,160.0,6503,1283.03,2063.85,-0.5
24,female,152.3,72.3,2,1656,159.5,8715,1393.71,2102.1,0.3754
58,male,185.6,92.0,3,1552,140.9,8764,1794.6,2969.83,1.2096
50,female,170.7,78.4,3,1641,165.8,12477,1440.14,2606.07,0.8388
57,male,185.2,96.4,7,1977,176.9,7907,1841.78,3644.74,1.5
56,female,158.9,76.5,4,2953,129.6,4843,1317.19,2041.64,-0.4561
35,male,178.4,74.2,3,1418,107.7,7210,1687.74,2726.49,1.2297
57,female,160.9,70.5,0,2217,133.1,9018,1264.68,1718.52,-0.4258
18,female,155.8,52.0,0,1755,91.3,9989,1242.96,1741.0,-0.0431
28,female,161.2,65.3,7,1922,107.9,3462,1360.22,2584.43,0.5671
45,male,177.4,76.8,5,1560,160.8,8134,1656.66,3014.44,1.2682
42,male,171.8,81.7,1,2308,177.2,5256,1685.41,2330.23,0.003
40,male,165.1,68.3,3,1985,112.3,6083,1520.01,2410.17,0.3895
48,male,172.5,67.6,1,2381,98.0,9614,1519.47,2319.97,-0.0854
47,male,195.7,73.0,2,2061,164.1,9365,1723.28,2587.75,0.4915
59,female,161.5,67.9,6,1324,95.7,5804,1232.03,2165.45,0.7846
52,male,163.3,89.1,0,2384,208.2,7105,1656.37,2092.9,-0.2787
24,male,182.1,84.1,5,1295,170.6,6159,1864.57,3274.33,1.4598
33,female,171.8,84.8,2,1346,146.0,14729,1595.87,2680.78,1.2553
43,female,159.6,64.6,7,1679,106.4,8195,1268.02,2568.99,0.8102
19,female,174.9,66.1,5,1684,93.2,5401,1498.72,2605.34,0.8961
18,female,165.1,64.5,6,2489,105.5,10805,1426.2,2750.44,0.2408
29,male,189.9,84.7,6,1940,130.2,10893,1893.46,3560.86,1.4783
22,male,171.8,61.3,7,2437,123.4,11979,1582.12,3354.98,0.806
54,female,161.2,64.5,4,1801,101.0,12719,1221.46,2279.22,0.4218
49,female,164.6,69.4,7,2111,133.8,9269,1317.02,2715.78,0.5029
26,male,175.1,68.2,0,2166,135.8,6625,1652.08,2063.74,-0.1332
58,female,170.5,59.7,2,2244,101.5,6993,1212.29,1766.55,-0.4115
52,male,180.7,83.6,4,1837,120.0,6769,1710.66,2739.97,0.8122
36,male,180.4,81.6,6,1868,117.2,6490,1768.19,3124.63,1.1299
33,female,167.4,81.6,2,1896,116.3,10599,1535.8,2391.68,0.4287
20,female,161.7,63.9,5,1422,136.7,7501,1388.65,2520.47,0.9874
37,female,166.9,81.2,4,1971,139.5,9928,1509.27,2585.77,0.5932
41,male,185.2,95.6,4,1866,209.9,9191,1913.23,3175.06,1.1946
50,female,177.1,81.8,0,2203,149.8,4753,1513.82,1816.58,-0.3867
41,male,182.5,77.2,7,2032,143.1,3207,1712.62,3253.97,1.1418
28,male,170.1,77.7,1,2468,148.6,4408,1705.1,2344.51,-0.0603
25,female,152.4,63.3,5,2025,133.8,6433,1299.81,2313.82,0.2778
53,female,161.6,66.1,5,1803,110.7,7835,1245.75,2290.67,0.4699
55,female,162.5,78.6,7,2020,119.6,5879,1365.39,2638.19,0.5984
57,female,172.0,76.3,4,2253,149.3,9257,1392.37,2371.02,0.0572
37,female,158.8,81.1,4,1379,140.1,6180,1458.01,2318.92,0.9101
52,female,170.8,73.3,0,1750,135.1,8142,1380.22,1813.37,0.0909
42,male,175.9,76.4,1,1757,156.4,7793,1658.31,2419.83,0.6172
52,male,167.1,70.7,5,2144,133.9,11836,1496.13,2922.62,0.7042
42,male,185.5,74.5,6,2185,150.5,5061,1699.44,2934.58,0.6417
46,male,175.9,85.7,3,2035,166.6,13021,1731.57,3084.98,0.9442
35,female,161.0,89.9,3,1200,192.4,6014,1569.41,2483.29,1.1801
63,male,184.8,80.1,1,1422,168.7,4149,1645.72,2262.87,0.7315
35,male,168.7,70.5,2,1916,136.3,6957,1589.26,2283.08,0.3313
19,male,165.6,68.6,0,1824,142.5,15600,1630.55,2486.66,0.5665
52,female,156.1,64.8,1,2002,147.3,9738,1202.58,1890.44,-0.1128
33,male,190.2,98.8,7,1836,181.0,9007,2017.06,4032.76,1.4594
58,female,156.8,64.8,7,2536,117.5,9487,1177.43,2461.46,-0.1116
53,male,176.7,74.8,3,1200,161.9,5576,1592.47,2497.13,1.1894
50,male,169.0,66.1,4,2106,131.1,8315,1472.24,2447.71,0.2933
21,female,161.0,74.8,3,2290,110.1,7506,1488.6,2432.63,0.1153
50,female,161.0,71.9,4,2246,164.8,12022,1314.04,2387.86,0.1104
31,male,176.3,70.2,0,2276,100.5,7228,1654.09,2096.31,-0.0812
38,female,160.1,64.9,4,2326,139.5,6554,1299.12,2091.34,-0.195
37,female,158.0,83.3,1,1789,179.9,4588,1474.67,2027.68,0.2388
25,male,174.5,78.8,4,1614,185.4,7850,1758.14,2867.62,1.116
24,female,156.2,71.1,2,1288,103.4,8232,1406.33,2095.3,0.7492
20,female,165.1,75.1,7,1873,150.0,4496,1521.91,2891.64,0.9191
34,female,160.8,83.5,1,1728,152.6,8632,1508.72,2256.09,0.4567
50,female,160.0,63.6,7,2407,110.1,8082,1224.91,2481.44,0.1259
29,female,159.4,68.6,0,1899,102.2,10033,1376.23,1903.13,0.0206
39,female,162.4,71.7,1,1639,140.7,10530,1375.88,2168.34,0.4966
39,female,163.5,59.8,2,1584,112.4,7735,1263.94,1874.67,0.2351
63,female,159.9,64.6,0,2696,97.2,4909,1169.42,1403.3,-0.5
47,female,160.8,80.8,3,1992,162.5,5423,1416.84,2217.26,0.2028
55,female,162.5,79.2,2,1726,169.4,11905,1371.81,2231.49,0.4419
55,female,161.9,80.4,0,2043,174.1,7913,1379.45,1800.99,-0.202
62,male,168.7,71.2,6,2664,164.2,11865,1461.81,2864.86,0.2031
25,female,158.9,67.8,4,1864,122.7,8746,1385.35,2334.59,0.4301
44,female,169.0,61.8,1,2240,145.3,9384,1293.0,1997.08,-0.1964
44,male,175.5,86.4,0,2415,195.8,9846,1745.81,2337.28,-0.0651
51,female,160.0,80.8,1,1338,137.0,4442,1391.48,1913.29,0.4968
38,male,169.6,85.0,4,1777,132.5,8267,1724.44,2836.24,0.9574
47,male,170.9,89.7,0,2371,164.7,4407,1735.35,2082.42,-0.2586
50,female,152.6,72.0,3,1755,129.8,6787,1263.19,2047.29,0.2934
45,male,170.9,89.4,6,2145,176.6,9100,1742.21,3210.31,0.9751
64,female,156.9,69.0,6,1735,136.8,4936,1189.45,2051.81,0.2713
50,female,168.6,61.7,2,1844,132.7,8898,1260.16,1927.62,0.105
22,male,183.7,89.6,0,1801,171.1,3754,1938.95,2326.75,0.489
36,male,164.2,59.5,4,2223,89.5,10358,1446.13,2509.4,0.3069
21,male,175.8,80.5,0,2071,181.7,5838,1803.43,2206.02,0.1258
52,female,163.4,81.2,1,2035,138.8,4932,1412.19,1941.76,-0.1155
34,female,170.3,79.2,5,2878,187.8,3911,1525.25,2631.06,-0.1888
61,female,161.4,90.8,7,2609,137.9,6051,1451.16,2809.75,0.1653
45,male,179.0,64.8,0,1307,152.9,2730,1547.44,1856.93,0.5092
47,female,166.9,74.5,6,1845,111.0,6129,1391.87,2457.43,0.5625
46,female,166.8,75.2,6,2849,122.7,10248,1403.65,2683.69,-0.1492
63,female,159.7,61.1,7,1799,88.4,7028,1133.33,2254.72,0.4093
23,male,173.9,69.0,6,2731,145.3,4556,1666.75,2875.14,0.0817
52,female,159.3,64.9,3,1851,146.1,8065,1224.29,2050.9,0.1519
58,female,167.1,66.4,0,1918,121.7,7844,1256.97,1650.56,-0.2096
54,female,158.3,70.4,2,2302,163.9,12391,1262.62,2105.65,-0.1659
41,male,166.3,70.0,0,1968,139.4,9476,1539.79,2071.55,0.151
46,female,159.1,74.1,5,2173,150.5,8263,1344.27,2482.02,0.2497
63,female,151.4,73.3,6,2551,164.7,9762,1203.58,2314.27,-0.2163
48,male,189.4,89.9,1,2266,152.5,7164,1847.42,2648.4,0.3829
52,female,167.0,71.9,6,2050,126.1,7311,1341.86,2430.25,0.3291
50,female,148.8,69.2,0,2586,159.6,11647,1211.13,1785.7,-0.5
38,male,172.3,85.8,3,2307,197.5,3411,1750.48,2713.25,0.3607
49,male,183.1,86.0,4,1743,204.3,9919,1764.1,2980.31,1.1112
40,female,166.7,89.9,0,2693,206.9,7223,1579.21,2006.21,-0.484
50,male,168.8,83.8,0,2225,128.0,6771,1648.09,2066.25,-0.1976
20,female,162.0,86.6,2,1925,192.6,6117,1617.63,2280.09,0.3719
35,male,179.7,60.9,3,1293,110.3,7884,1562.75,2566.46,1.1292
